0,1,2,3,4,5,6
Adventure,Fantasy,Family,,,,
Fantasy,Adventure,Animation,Family,,,
Adventure,Action,Science Fiction,,,,
Animation,Comedy,Family,,,,
Action,Science Fiction,Adventure,,,,
Adventure,Fantasy,Family,,,,
Action,Adventure,Fantasy,Science Fiction,,,
Animation,Family,Comedy,,,,
Animation,Family,Comedy,,,,
Animation,Action,Comedy,Family,Science Fiction,,
Animation,Comedy,Family,,,,
Family,Fantasy,Adventure,,,,
Thriller,Adventure,Action,,,,
Animation,Family,,,,,
Horror,Crime,,,,,
Adventure,Fantasy,Drama,Romance,,,
Action,Thriller,Science Fiction,,,,
Music,Romance,,,,,
Action,Drama,Thriller,,,,
Drama,Thriller,Mystery,,,,
Action,Drama,Mystery,Thriller,,,
Action,Comedy,,,,,
Adventure,Family,Fantasy,,,,
Drama,Romance,,,,,
Thriller,Action,Adventure,Comedy,Crime,,
Drama,History,,,,,
Action,Comedy,Crime,Thriller,,,
Action,Adventure,Family,Fantasy,,,
Action,Science Fiction,Adventure,Thriller,,,
Drama,,,,,,
Action,Thriller,,,,,
Drama,History,,,,,
Action,Thriller,Science Fiction,Adventure,,,
Action,Drama,Mystery,Thriller,,,
Adventure,Fantasy,Action,,,,
Comedy,Romance,,,,,
Action,Adventure,Drama,,,,
Comedy,Fantasy,Family,,,,
Comedy,Adventure,Fantasy,Animation,Family,,
Comedy,,,,,,
Fantasy,Adventure,Action,Comedy,Drama,,
Action,Comedy,Romance,,,,
Comedy,,,,,,
Comedy,Romance,,,,,
Crime,Drama,Action,Thriller,,,
Horror,,,,,,
Action,Thriller,,,,,
Drama,Thriller,,,,,
Animation,Adventure,Family,Fantasy,,,
Romance,Drama,,,,,
Adventure,Action,Drama,,,,
Action,Comedy,Crime,,,,
Crime,Drama,Thriller,,,,
Action,Western,Drama,Fantasy,Thriller,,
Adventure,Action,Science Fiction,,,,
Adventure,Fantasy,Action,Romance,,,
Comedy,Animation,Family,,,,
Fantasy,Drama,,,,,
Drama,,,,,,
Drama,Adventure,Western,,,,
Thriller,Crime,Horror,,,,
Action,Crime,,,,,
Comedy,Science Fiction,Animation,,,,
Action,Mystery,Thriller,,,,
TV Movie,Animation,Fantasy,Family,,,
Action,Crime,Thriller,,,,
Action,Animation,Mystery,,,,
Animation,Adventure,Fantasy,Family,,,
Comedy,Family,Fantasy,,,,
Action,Comedy,Thriller,,,,
Crime,Drama,Mystery,Romance,,,
Comedy,,,,,,
Comedy,Drama,,,,,
Action,Science Fiction,Thriller,Crime,,,
Animation,Action,,,,,
Animation,,,,,,
Action,Adventure,Drama,Family,,,
Comedy,Family,,,,,
Mystery,Horror,Action,,,,
Action,Thriller,Crime,Mystery,,,
Comedy,Romance,,,,,
Action,Adventure,Comedy,Crime,Thriller,,
Drama,Romance,War,,,,
Horror,,,,,,
Adventure,Fantasy,Animation,Science Fiction,,,
Romance,Comedy,,,,,
Comedy,Romance,Drama,,,,
Drama,Action,Thriller,Crime,Mystery,,
Drama,Thriller,,,,,
Comedy,Music,TV Movie,,,,
War,Action,Adventure,Drama,Thriller,,
Action,Adventure,Animation,,,,
Drama,Romance,,,,,
Adventure,Drama,Thriller,,,,
Mystery,Fantasy,Comedy,Adventure,,,
Comedy,Horror,,,,,
Adventure,Drama,Action,Fantasy,,,
Crime,Drama,Mystery,Thriller,,,
Fantasy,Adventure,Action,Mystery,,,
Comedy,Romance,,,,,
Romance,Drama,Thriller,Crime,,,
Animation,Family,TV Movie,,,,
Drama,Thriller,Mystery,,,,
Action,Drama,History,,,,
Adventure,Action,Comedy,Thriller,,,
Comedy,Adventure,Family,Fantasy,,,
Animation,Adventure,Family,Fantasy,,,
Action,Comedy,Family,,,,
Comedy,Documentary,Action,,,,
Drama,,,,,,
